date,open,high,low,close,volume
2025-01-03,118.0,124.0,117.0,119.0,377489500
2025-01-06,120.0,121.0,114.0,115.0,206176300
2025-01-07,115.0,119.0,113.0,114.0,137626000
2025-01-08,114.0,114.0,107.0,108.0,228421000
2025-01-09,108.0,111.0,105.0,106.0,138758300
2025-01-10,106.0,116.0,106.0,116.0,295634600
2025-01-13,117.0,118.0,110.0,111.0,176472700
2025-01-14,112.0,115.0,108.0,113.0,200019800
2025-01-15,113.0,114.0,109.0,110.0,221801800
2025-01-16,111.0,117.0,110.0,115.0,222760500
2025-01-17,116.0,117.0,111.0,111.0,113595200
2025-01-20,112.0,120.0,109.0,115.0,653923400
2025-01-21,116.0,118.0,113.0,113.0,227510800
2025-01-22,114.0,117.0,113.0,114.0,189266500
2025-01-23,115.0,123.0,115.0,116.0,646131300
2025-01-24,115.0,116.0,112.0,113.0,257645900
2025-01-30,113.0,114.0,107.0,111.0,212812600
2025-01-31,111.0,116.0,111.0,112.0,184235700
2025-02-03,114.0,114.0,109.0,112.0,213698400
2025-02-04,113.0,129.0,113.0,117.0,2253936600
