date,open,high,low,close,volume
2025-11-13,424.0,448.0,420.0,430.0,1399137700
2025-11-14,432.0,436.0,406.0,410.0,1153394200
2025-11-17,410.0,428.0,404.0,408.0,769205700
2025-11-18,408.0,424.0,398.0,410.0,990921200
2025-11-19,428.0,440.0,418.0,426.0,1848365600
2025-11-20,430.0,432.0,410.0,412.0,756349300
2025-11-21,410.0,420.0,404.0,416.0,612443800
2025-11-24,418.0,424.0,412.0,416.0,453497700
2025-11-25,416.0,432.0,412.0,418.0,1108746800
2025-11-26,420.0,436.0,416.0,428.0,1223314800
2025-11-27,430.0,442.0,422.0,426.0,1025084700
2025-11-28,430.0,438.0,422.0,432.0,469683200
2025-12-01,438.0,470.0,432.0,462.0,2806600100
2025-12-02,464.0,472.0,450.0,468.0,1115215500
2025-12-03,470.0,482.0,456.0,460.0,1018454300
2025-12-04,464.0,466.0,428.0,428.0,1535688500
2025-12-05,420.0,426.0,408.0,412.0,1706200200
2025-12-08,416.0,458.0,416.0,458.0,2159144300
2025-12-09,468.0,510.0,466.0,505.0,3326214600
2025-12-10,510.0,545.0,486.0,496.0,3039253300
2025-12-11,496.0,575.0,488.0,545.0,3356341900
2025-12-12,570.0,645.0,560.0,605.0,2627668900
2025-12-15,615.0,620.0,535.0,540.0,2078258900
2025-12-16,540.0,565.0,515.0,540.0,853071300
2025-12-17,550.0,570.0,535.0,560.0,1221008500
2025-12-18,560.0,565.0,525.0,535.0,570817700
2025-12-19,545.0,550.0,515.0,545.0,641676400
2025-12-22,555.0,585.0,550.0,575.0,1311589800
2025-12-23,585.0,620.0,560.0,585.0,1474119100
2025-12-24,600.0,605.0,550.0,560.0,1141215600
2025-12-29,575.0,690.0,570.0,690.0,3462096200
2025-12-30,680.0,745.0,665.0,670.0,2580204500
2026-01-02,690.0,760.0,690.0,750.0,1993908700
2026-01-05,760.0,790.0,735.0,755.0,2024925300
2026-01-06,760.0,825.0,725.0,815.0,2537576500
2026-01-07,830.0,865.0,790.0,800.0,1833637100
2026-01-08,800.0,835.0,785.0,800.0,745635400
2026-01-09,810.0,830.0,800.0,810.0,759304200
2026-01-12,825.0,835.0,695.0,790.0,2030891400
2026-01-13,780.0,790.0,705.0,710.0,1998906700
2026-01-14,730.0,775.0,725.0,750.0,1034701400
2026-01-15,755.0,775.0,725.0,765.0,809404900
2026-01-19,775.0,775.0,730.0,755.0,647145600
2026-01-20,790.0,805.0,760.0,770.0,1114679000
2026-01-21,765.0,765.0,720.0,735.0,741403500
2026-01-22,745.0,750.0,660.0,665.0,1303478900
2026-01-23,665.0,695.0,600.0,685.0,1580535300
2026-01-26,685.0,720.0,630.0,630.0,1470064700
2026-01-27,640.0,680.0,625.0,670.0,905348700
2026-01-28,570.0,625.0,570.0,570.0,1844800500
2026-01-29,510.0,575.0,486.0,525.0,3489631500
2026-01-30,535.0,580.0,505.0,540.0,1118050000
2026-02-02,540.0,545.0,460.0,460.0,1427327000
2026-02-03,438.0,530.0,400.0,525.0,2548714600
2026-02-04,505.0,535.0,492.0,505.0,929693300
2026-02-05,505.0,525.0,496.0,500.0,515434900
2026-02-06,480.0,498.0,462.0,464.0,645985500
2026-02-09,472.0,510.0,458.0,500.0,833371600
2026-02-10,490.0,535.0,488.0,505.0,1174521900
2026-02-11,510.0,580.0,505.0,565.0,1455028300
