date,open,high,low,close,volume
2025-10-10,356.0,368.0,350.0,356.0,271655900
2025-10-13,350.0,368.0,340.0,362.0,492341100
2025-10-14,366.0,400.0,328.0,334.0,2167681500
2025-10-15,334.0,348.0,300.0,318.0,1548998300
2025-10-16,324.0,334.0,318.0,326.0,470465200
2025-10-17,330.0,334.0,292.0,300.0,870629700
2025-10-20,306.0,326.0,298.0,316.0,549602400
2025-10-21,320.0,332.0,318.0,322.0,455399900
2025-10-22,322.0,326.0,312.0,320.0,313375200
2025-10-23,320.0,340.0,320.0,320.0,544770900
2025-10-24,322.0,326.0,312.0,316.0,296097200
2025-10-27,316.0,320.0,286.0,296.0,841894200
2025-10-28,296.0,318.0,290.0,308.0,371583600
2025-10-29,310.0,316.0,304.0,308.0,215079000
2025-10-30,312.0,326.0,308.0,324.0,487818300
2025-10-31,324.0,346.0,318.0,334.0,745191900
2025-11-03,340.0,346.0,332.0,336.0,478019400
2025-11-04,336.0,340.0,320.0,334.0,359227000
2025-11-05,328.0,356.0,320.0,356.0,862968300
2025-11-06,360.0,370.0,342.0,342.0,777790500
2025-11-07,342.0,354.0,340.0,348.0,307839300
2025-11-10,352.0,400.0,352.0,398.0,1615161300
2025-11-11,402.0,488.0,402.0,446.0,5426419900
2025-11-12,436.0,448.0,412.0,418.0,1832959300
2025-11-13,424.0,448.0,420.0,430.0,1399137700
2025-11-14,432.0,436.0,406.0,410.0,1153394200
2025-11-17,410.0,428.0,404.0,408.0,769205700
2025-11-18,408.0,424.0,398.0,410.0,990921200
2025-11-19,428.0,440.0,418.0,426.0,1848365600
2025-11-20,430.0,432.0,410.0,412.0,756349300
2025-11-21,410.0,420.0,404.0,416.0,612443800
2025-11-24,418.0,424.0,412.0,416.0,453497700
2025-11-25,416.0,432.0,412.0,418.0,1108746800
2025-11-26,420.0,436.0,416.0,428.0,1223314800
2025-11-27,430.0,442.0,422.0,426.0,1025084700
2025-11-28,430.0,438.0,422.0,432.0,469683200
2025-12-01,438.0,470.0,432.0,462.0,2806600100
2025-12-02,464.0,472.0,450.0,468.0,1115215500
2025-12-03,470.0,482.0,456.0,460.0,1018454300
2025-12-04,464.0,466.0,428.0,428.0,1535688500
2025-12-05,420.0,426.0,408.0,412.0,1706200200
2025-12-08,416.0,458.0,416.0,458.0,2159144300
2025-12-09,468.0,510.0,466.0,505.0,3326214600
2025-12-10,510.0,545.0,486.0,496.0,3039253300
2025-12-11,496.0,575.0,488.0,545.0,3356341900
2025-12-12,570.0,645.0,560.0,605.0,2627668900
2025-12-15,615.0,620.0,535.0,540.0,2078258900
2025-12-16,540.0,565.0,515.0,540.0,853071300
2025-12-17,550.0,570.0,535.0,560.0,1221008500
2025-12-18,560.0,565.0,525.0,535.0,570817700
2025-12-19,545.0,550.0,515.0,545.0,641676400
2025-12-22,555.0,585.0,550.0,575.0,1311589800
2025-12-23,585.0,620.0,560.0,585.0,1474119100
2025-12-24,600.0,605.0,550.0,560.0,1141215600
2025-12-29,575.0,690.0,570.0,690.0,3462096200
2025-12-30,680.0,745.0,665.0,670.0,2580204500
2026-01-02,690.0,760.0,690.0,750.0,1993908700
2026-01-05,760.0,790.0,735.0,755.0,2024925300
2026-01-06,760.0,825.0,725.0,815.0,2537576500
2026-01-07,830.0,865.0,790.0,800.0,1833637100
