date,open,high,low,close,volume
2025-07-23,206.0,224.0,202.0,222.0,620339900
2025-07-24,224.0,226.0,210.0,216.0,457602100
2025-07-25,216.0,226.0,212.0,218.0,426783900
2025-07-28,222.0,238.0,222.0,236.0,780460700
2025-07-29,236.0,238.0,226.0,232.0,534942600
2025-07-30,232.0,240.0,224.0,232.0,476076400
2025-07-31,232.0,244.0,214.0,220.0,1050506600
2025-08-01,220.0,226.0,216.0,222.0,244661500
2025-08-04,222.0,236.0,216.0,230.0,540988800
2025-08-05,234.0,236.0,216.0,216.0,602455900
2025-08-06,218.0,228.0,218.0,226.0,294980800
2025-08-07,226.0,234.0,224.0,226.0,300905900
2025-08-08,226.0,228.0,218.0,222.0,170055100
2025-08-11,222.0,230.0,218.0,224.0,309197500
2025-08-12,228.0,234.0,226.0,228.0,320992000
2025-08-13,230.0,232.0,222.0,222.0,142526100
2025-08-14,222.0,228.0,222.0,226.0,148446600
2025-08-15,228.0,230.0,220.0,220.0,340679200
2025-08-19,222.0,226.0,218.0,224.0,222632700
2025-08-20,226.0,244.0,222.0,236.0,1037956400
2025-08-21,240.0,242.0,222.0,226.0,711674900
2025-08-22,226.0,226.0,220.0,220.0,288936100
2025-08-25,222.0,230.0,222.0,226.0,239543500
2025-08-26,228.0,236.0,226.0,226.0,432255400
2025-08-27,226.0,232.0,226.0,226.0,192059300
2025-08-28,234.0,248.0,230.0,230.0,820568200
2025-08-29,224.0,230.0,210.0,224.0,534849300
2025-09-01,216.0,224.0,212.0,218.0,359475100
2025-09-02,222.0,228.0,222.0,224.0,311846700
2025-09-03,226.0,232.0,224.0,226.0,251538400
2025-09-04,226.0,234.0,222.0,222.0,242474500
2025-09-08,224.0,228.0,216.0,216.0,256584900
2025-09-09,218.0,222.0,214.0,218.0,204690600
2025-09-10,222.0,224.0,214.0,218.0,175539400
2025-09-11,218.0,222.0,214.0,214.0,182750300
2025-09-12,216.0,222.0,214.0,220.0,165148800
2025-09-15,222.0,226.0,216.0,226.0,282187800
2025-09-16,226.0,232.0,222.0,224.0,386368400
2025-09-17,224.0,226.0,220.0,222.0,139886500
2025-09-18,224.0,224.0,214.0,216.0,256139200
2025-09-19,216.0,220.0,214.0,214.0,141667200
2025-09-22,220.0,242.0,218.0,238.0,1315700000
2025-09-23,248.0,270.0,248.0,270.0,1881689700
2025-09-24,276.0,280.0,256.0,264.0,979935200
2025-09-25,262.0,282.0,262.0,280.0,1043519600
2025-09-26,282.0,286.0,272.0,278.0,440012600
2025-09-29,278.0,292.0,266.0,290.0,765277300
2025-09-30,290.0,290.0,270.0,272.0,810527100
2025-10-01,272.0,302.0,270.0,294.0,1416319700
2025-10-02,298.0,340.0,288.0,334.0,1508918500
2025-10-03,336.0,354.0,332.0,336.0,1035475900
2025-10-06,338.0,352.0,322.0,326.0,630552400
2025-10-07,326.0,386.0,318.0,354.0,1426838700
2025-10-08,358.0,364.0,340.0,356.0,614798700
2025-10-09,362.0,382.0,346.0,354.0,836163300
2025-10-10,356.0,368.0,350.0,356.0,271655900
2025-10-13,350.0,368.0,340.0,362.0,492341100
2025-10-14,366.0,400.0,328.0,334.0,2167681500
2025-10-15,334.0,348.0,300.0,318.0,1548998300
2025-10-16,324.0,334.0,318.0,326.0,470465200
