Date,Close,High,Low,Open,Volume
2011-04-15,72.64677429199219,73.64193558366331,65.6806452502943,72.64677429199219,462646016
2011-04-18,75.63225555419922,77.62257806878341,72.64677178232294,75.63225555419922,302577504
2011-04-19,82.598388671875,82.598388671875,74.63709819747741,82.598388671875,471547488
2011-04-20,78.61774444580078,85.58387370049199,77.62258312370204,78.61774444580078,395121504
2011-04-21,79.61289978027344,81.60322227478026,78.61773853302002,79.61289978027344,115589000
2011-04-25,79.61289978027344,79.61289978027344,79.61289978027344,79.61289978027344,0
2011-04-26,81.60322570800781,82.59838699712986,78.61774184064167,81.60322570800781,129365504
2011-04-27,84.58870697021484,88.5693520041073,80.60806193632237,84.58870697021484,470547488
2011-04-28,84.58870697021484,86.57902948716107,82.59838445326861,84.58870697021484,159210496
2011-04-29,85.58386993408203,87.57419249068859,83.59354737747547,85.58386993408203,185044992
2011-05-02,86.57903289794922,88.56935549330437,83.59354900491648,86.57903289794922,205724000
2011-05-03,90.55967712402344,91.55483841110062,84.58870940156035,90.55967712402344,596150528
2011-05-04,92.55000305175781,94.54032569803218,90.55968040548345,92.55000305175781,424200992
2011-05-05,91.55484008789062,93.54516269849694,90.55967878258747,91.55484008789062,163936496
2011-05-06,88.5693588256836,91.55484283104371,86.5790361554435,88.5693588256836,189960496
2011-05-09,92.55000305175781,92.55000305175781,88.56935775920908,92.55000305175781,185708992
2011-05-10,96.53064727783203,97.52580858997463,92.55000202926163,96.53064727783203,599792000
2011-05-11,99.51612854003906,101.50645111083985,96.53064468383789,99.51612854003906,451148992
2011-05-12,103.49677276611328,105.48709531930777,97.52580510652982,103.49677276611328,747049984
2011-05-13,109.46774291992188,110.46290421919389,103.49677512428977,109.46774291992188,739777472
2011-05-16,104.49193572998047,110.46290348597935,104.49193572998047,104.49193572998047,355538496
2011-05-18,106.48226165771484,108.47258430552259,104.49193900990709,106.48226165771484,197803008
2011-05-19,104.49193572998047,108.47258090064639,103.49677443731399,104.49193572998047,221020000
2011-05-20,101.50645446777344,106.48226105933097,100.51129314946193,101.50645446777344,181499504
2011-05-23,92.55000305175781,101.50645495999244,92.55000305175781,92.55000305175781,301406496
2011-05-24,101.50645446777344,101.50645446777344,91.5548412846584,101.50645446777344,516971008
2011-05-25,97.52581024169922,102.50161688668386,97.52581024169922,97.52581024169922,318798496
2011-05-26,100.51129150390625,101.50645280592512,98.5209688998685,100.51129150390625,125726496
2011-05-27,97.52581024169922,100.51129422869,97.52581024169922,97.52581024169922,83081000
2011-05-30,95.53548431396484,99.51612949371338,94.54032301902771,95.53548431396484,152500992
2011-05-31,99.51612854003906,99.51612854003906,92.54999954223632,99.51612854003906,360985984
2011-06-01,108.47257995605469,108.47257995605469,97.52580583204917,108.47257995605469,963713472
2011-06-03,107.4774169921875,109.46773952907986,104.49193318684897,107.4774169921875,533608512
2011-06-06,107.4774169921875,109.46773952907986,105.48709445529514,107.4774169921875,379456000
2011-06-07,115.43871307373047,116.43387439333159,104.4919385581181,115.43871307373047,1408859008
2011-06-08,114.44355010986328,118.42419533107591,112.45322749925695,114.44355010986328,734416512
2011-06-09,113.4483871459961,116.43387101825914,111.45806456448739,113.4483871459961,455668000
2011-06-10,111.45806884765625,115.43871416364397,110.46290751865932,111.45806884765625,255688992
2011-06-13,109.46774291992188,111.4580655184659,104.49193642356178,109.46774291992188,523728000
2011-06-14,107.4774169921875,111.45806206597223,107.4774169921875,107.4774169921875,281070016
2011-06-15,104.49193572998047,110.46290348597935,103.49677443731399,104.49193572998047,314538496
2011-06-16,100.51129150390625,103.49677540996286,96.53064629583075,100.51129150390625,488905984
2011-06-17,102.5016098022461,102.5016098022461,97.52580350116618,102.5016098022461,354309504
2011-06-20,99.51612854003906,105.4870962524414,98.52096725463868,99.51612854003906,217678496
2011-06-21,106.48226165771484,106.48226165771484,99.5161323903877,106.48226165771484,333379488
2011-06-22,107.4774169921875,109.46773952907986,105.48709445529514,107.4774169921875,397870016
2011-06-23,105.48709869384766,107.4774213107127,104.49193738541513,105.48709869384766,150533504
2011-06-24,104.49193572998047,107.47741960797991,103.49677443731399,104.49193572998047,130537000
2011-06-27,104.49193572998047,104.49193572998047,102.50161314464751,104.49193572998047,90656496
2011-06-28,104.49193572998047,105.48709702264695,102.50161314464751,104.49193572998047,84622000
2011-06-30,104.49193572998047,106.48225831531343,102.50161314464751,104.49193572998047,119415000
2011-07-01,106.48226165771484,108.47258430552259,104.49193900990709,106.48226165771484,200141504
2011-07-04,106.48226165771484,106.48226165771484,106.48226165771484,106.48226165771484,0
2011-07-05,104.49193572998047,107.47741960797991,103.49677443731399,104.49193572998047,132948000
2011-07-06,103.49677276611328,105.48709531930777,102.50161148951604,103.49677276611328,70113504
2011-07-07,103.49677276611328,105.48709531930777,102.50161148951604,103.49677276611328,51664000
2011-07-08,102.5016098022461,105.48709358289403,102.5016098022461,102.5016098022461,81144000
2011-07-11,104.49193572998047,106.48225831531343,102.50161314464751,104.49193572998047,145187504
2011-07-12,102.5016098022461,105.48709358289403,101.50644854203011,102.5016098022461,143450000
2011-07-13,113.4483871459961,113.4483871459961,102.50161294769822,113.4483871459961,968180480
2011-07-14,111.45806884765625,116.4338754926409,109.46774618966238,111.45806884765625,786134976
2011-07-15,109.46774291992188,112.45322681773793,108.47258162064986,109.46774291992188,259964000
2011-07-18,109.46774291992188,111.4580655184659,108.47258162064986,109.46774291992188,176183504
2011-07-19,114.44355010986328,114.44355010986328,108.47258227804433,114.44355010986328,488052992
2011-07-20,113.4483871459961,115.4387097275048,112.45322585524174,113.4483871459961,252420496
2011-07-21,120.41452026367188,124.3951655616445,111.45806834323346,120.41452026367188,1421434496
2011-07-22,121.40967559814453,123.39999814893379,120.4145143227499,121.40967559814453,657124992
2011-07-25,120.41452026367188,123.40000423715134,119.41935893917872,120.41452026367188,469791008
2011-07-26,123.4000015258789,126.38548543376307,118.42419501273862,123.4000015258789,869845504
2011-07-27,121.40967559814453,125.39032069972303,120.4145143227499,121.40967559814453,281081504
2011-07-28,122.40483856201172,122.40483856201172,118.42419340552354,122.40483856201172,217138000
2011-07-29,117.42903137207031,122.40483778614109,117.42903137207031,117.42903137207031,221461504
2011-08-01,121.40967559814453,122.40483687353915,117.42903049656601,121.40967559814453,276307488
2011-08-02,121.40967559814453,123.39999814893379,118.42419177196065,121.40967559814453,333874496
2011-08-03,119.41935729980469,120.4145186106364,118.42419598897298,119.41935729980469,151898000
2011-08-04,117.42903137207031,121.40967650332693,115.438708806442,117.42903137207031,224183504
2011-08-05,101.50645446777344,114.443551605823,100.51129314946193,101.50645446777344,546904000
2011-08-08,101.50645446777344,101.50645446777344,101.50645446777344,101.50645446777344,0
2011-08-09,92.55000305175781,104.49193892940399,86.57903511293472,92.55000305175781,620481472
2011-08-10,98.52096557617188,101.50644938151042,95.53548177083334,98.52096557617188,364791488
2011-08-11,100.51129150390625,101.50645280592512,92.55000108775526,100.51129150390625,361791008
2011-08-12,99.51612854003906,103.49677368164062,98.52096725463868,99.51612854003906,229204496
2011-08-15,100.51129150390625,103.49677540996286,99.51613020188738,100.51129150390625,99246496
2011-08-16,100.51129150390625,100.51129150390625,100.51129150390625,100.51129150390625,0
2011-08-18,99.51612854003906,102.50161239624023,98.52096725463868,99.51612854003906,101997504
2011-08-19,95.53548431396484,98.52096819877625,94.54032301902771,95.53548431396484,137760496
2011-08-22,95.53548431396484,97.52580690383911,91.55483913421631,95.53548431396484,108548496
2011-08-23,95.53548431396484,98.52096819877625,94.54032301902771,95.53548431396484,111015504
2011-08-24,94.54032135009766,97.525805182206,94.54032135009766,94.54032135009766,47131000
2011-08-25,94.54032135009766,97.525805182206,93.54516007272821,94.54032135009766,39768500
2011-08-26,93.54515838623047,94.54031964565846,92.54999712680248,93.54515838623047,28887000
2011-09-05,94.54032135009766,96.53064390483655,93.54516007272821,94.54032135009766,46679500
